postcode,locality,state
3631,ARCADIA SOUTH,VIC
2283,ARCADIA VALE,NSW
4454,ARCADIA VALLEY,QLD
3475,ARCHDALE,VIC
3475,ARCHDALE JUNCTION,VIC
830,ARCHER,NT
4892,ARCHER RIVER,QLD
4108,ARCHERFIELD,QLD
4108,ARCHERFIELD BC,QLD
3723,ARCHERTON,VIC
3995,ARCHIES CREEK,VIC
5723,ARCKARINGA,SA
5720,ARCOONA,SA
4702,ARCTURUS,QLD
6419,ARDATH,WA
3022,ARDEER,VIC
2338,ARDGLEN,NSW
2358,ARDING,NSW
2665,ARDLETHAN,NSW
3629,ARDMONA,VIC
6153,ARDROSS,WA
5571,ARDROSSAN,SA
3480,AREEGRA,VIC
872,AREYONGA,NT
2720,ARGALONG,NSW
2284,ARGENTON,NSW
2449,ARGENTS HILL,NSW
,,
4702,ARGOON,QLD
2350,ARGYLE,NSW
3523,ARGYLE,VIC
6239,ARGYLE,WA
4721,ARGYLL,QLD
2665,ARIAH PARK,NSW
5732,ARKAROOLA,SA
5701,ARKAROOLA VILLAGE,SA
2795,ARKELL,NSW
4806,ARKENDEITH,QLD
2795,ARKSTONE,NSW
3143,ARMADALE,VIC
6112,ARMADALE,WA
,,
3143,ARMADALE NORTH,VIC
5453,ARMAGH,SA
2828,ARMATREE,NSW
2831,ARMATREE,NSW
2350,ARMIDALE,NSW
2350,ARMIDALE DC,NSW
2350,ARMIDALE EAST,NSW
3377,ARMSTRONG,VIC
4737,ARMSTRONG BEACH,QLD
3217,ARMSTRONG CREEK,VIC
4520,ARMSTRONG CREEK,QLD
2205,ARNCLIFFE,NSW
2148,ARNDELL PARK,NSW
5603,ARNO BAY,SA
852,ARNOLD,NT
3551,ARNOLD,VIC
3551,ARNOLD WEST,VIC
4551,AROONA,QLD
2456,ARRAWARRA,NSW
2456,ARRAWARRA HEADLAND,NSW
4880,ARRIGA,QLD
6519,ARRINO,WA
6525,ARROWSMITH,WA
6519,ARROWSMITH EAST,WA
1570,ARTARMON,NSW
2064,ARTARMON,NSW
6315,ARTHUR RIVER,WA
7330,ARTHUR RIVER,TAS
3099,ARTHURS CREEK,VIC
7030,ARTHURS LAKE,TAS
3936,ARTHURS SEAT,VIC
5572,ARTHURTON,SA
2820,ARTHURVILLE,NSW
873,ARUMBERA,NT
2715,ARUMPO,NSW
4214,ARUNDEL,QLD
4214,ARUNDEL BC,QLD
4214,ARUNDEL DC,QLD
3364,ASCOT,VIC
3551,ASCOT,VIC
4007,ASCOT,QLD
4359,ASCOT,QLD
6104,ASCOT,WA
5043,ASCOT PARK,SA
3032,ASCOT VALE,VIC
3442,ASHBOURNE,VIC
5157,ASHBOURNE,SA
3147,ASHBURTON,VIC
2193,ASHBURY,NSW
2463,ASHBY,NSW
6065,ASHBY,WA
2463,ASHBY HEIGHTS,NSW
2463,ASHBY ISLAND,NSW
2168,ASHCROFT,NSW
6111,ASHENDON,WA
1800,ASHFIELD,NSW
2131,ASHFIELD,NSW
4670,ASHFIELD,QLD
6054,ASHFIELD,WA
2361,ASHFORD,NSW
5035,ASHFORD,SA
4060,ASHGROVE,QLD
4060,ASHGROVE EAST,QLD
4060,ASHGROVE WEST,QLD
2400,ASHLEY,NSW
2650,ASHMONT,NSW
4214,ASHMORE,QLD
4214,ASHMORE CITY,QLD
5137,ASHTON,SA
2323,ASHTONFIELD,NSW
2594,ASHVILLE,NSW
5259,ASHVILLE,SA
4340,ASHWELL,QLD
3147,ASHWOOD,VIC
3195,ASPENDALE,VIC
3195,ASPENDALE GARDENS,VIC
4034,ASPLEY,QLD
2077,ASQUITH,NSW
5076,ATHELSTONE,SA
4883,ATHERTON,QLD
3818,ATHLONE,VIC
4350,ATHOL,QLD
5012,ATHOL PARK,SA
2361,ATHOLWOOD,NSW
872,ATITJERE,NT
4311,ATKINSONS DAM,QLD
6156,ATTADALE,WA
2345,ATTUNGA,NSW
3049,ATTWOOD,VIC
6164,ATWELL,WA
4401,AUBIGNY,QLD
6164,AUBIN GROVE,WA
4650,AUBINVILLE,QLD
3393,AUBREY,VIC
1835,AUBURN,NSW
2144,AUBURN,NSW
3123,AUBURN,VIC
4413,AUBURN,QLD
5451,AUBURN,SA
2144,AUBURN SOUTH,NSW
3122,AUBURN SOUTH,VIC
2360,AUBURN VALE,NSW
4066,AUCHENFLOWER,QLD
3570,AUCHMORE,VIC
2232,AUDLEY,NSW
4477,AUGATHELLA,QLD
6290,AUGUSTA,WA
4300,AUGUSTINE HEIGHTS,QLD
4830,AUGUSTUS DOWNS,QLD
5072,AULDANA,SA
4871,AURUKUN,QLD
4892,AURUKUN,QLD
2587,AURVILLE,NSW
2515,AUSTINMER,NSW
7011,AUSTINS FERRY,TAS
4213,AUSTINVILLE,QLD
2179,AUSTRAL,NSW
2440,AUSTRAL EDEN,NSW
4215,AUSTRALIA FAIR,QLD
5374,AUSTRALIA PLAINS,SA
1209,AUSTRALIA SQUARE,NSW
1210,AUSTRALIA SQUARE,NSW
1211,AUSTRALIA SQUARE,NSW
1212,AUSTRALIA SQUARE,NSW
1213,AUSTRALIA SQUARE,NSW
1214,AUSTRALIA SQUARE,NSW
1215,AUSTRALIA SQUARE,NSW
2890,AUSTRALIAN DEFENCE FORCES,NSW
200,Australian National University,ACT
6233,AUSTRALIND,WA
2107,AVALON,NSW
3212,AVALON,VIC
2107,AVALON BEACH,NSW
6069,AVELEY,WA
3664,AVENEL,VIC
4670,AVENELL HEIGHTS,QLD
5273,AVENUE RANGE,SA
2850,AVISFORD,NSW
2577,AVOCA,NSW
3467,AVOCA,VIC
4670,AVOCA,QLD
7213,AVOCA,TAS
2251,AVOCA BEACH,NSW
5253,AVOCA DELL,SA
4306,AVOCA VALE,QLD
4314,AVOCA VALE,QLD
2574,AVON,NSW
5501,AVON,SA
862,AVON DOWNS,NT
3477,AVON PLAINS,VIC
3478,AVON PLAINS,VIC
6084,AVON VALLEY NATIONAL PARK,WA
2530,AVONDALE,NSW
4670,AVONDALE,QLD
3034,AVONDALE HEIGHTS,VIC
3559,AVONMORE,VIC
2628,AVONSIDE,NSW
3782,AVONSLEIGH,VIC
2283,AWABA,NSW
3551,AXE CREEK,VIC
3551,AXEDALE,VIC
872,AYERS RANGE SOUTH,SA
872,AYERS ROCK,NT
2575,AYLMERTON,NSW
4807,AYR,QLD
3268,AYRFORD,VIC
4895,AYTON,QLD
2390,BAAN BAA,NSW
6412,BAANDEE,WA
3747,BAARMUTHA,VIC
6428,BABAKIN,WA
6701,BABBAGE ISLAND,WA
2825,BABINDA,NSW
